Date,Open,High,Low,Close,Adj Close,Volume,days
2018-05-09,1586.73999,1598.76001,1584.170044,1596.050049,1596.050049,3913650000,53
2018-05-10,1596.540039,1609.449951,1596.540039,1603.709961,1603.709961,3380640000,54
2018-05-11,1603.869995,1609.359985,1599.910034,1606.790039,1606.790039,2874850000,55
2018-05-14,1607.390015,1614.23999,1599.72998,1600.339966,1600.339966,2994360000,56
2018-05-15,1599.599976,1603.160034,1592.099976,1600.339966,1600.339966,3291190000,57
2018-05-16,1601.030029,1620.640015,1601.030029,1616.369995,1616.369995,3248480000,58
2018-05-17,1616.219971,1627.319946,1615.459961,1625.290039,1625.290039,3478150000,59
2018-05-18,1626.060059,1630.329956,1624.22998,1626.630005,1626.630005,3383270000,60
2018-05-21,1627.77002,1639.040039,1627.77002,1637.439941,1637.439941,3053480000,61
2018-05-22,1637.650024,1639.890015,1625.23999,1625.23999,1625.23999,3384140000,62
2018-05-23,1624.920044,1629.400024,1618.560059,1627.609985,1627.609985,3333160000,63
2018-05-24,1627.219971,1630.310059,1616.589966,1628.219971,1628.219971,3285750000,64
2018-05-25,1627.930054,1628.72998,1623.329956,1626.930054,1626.930054,3015260000,65
2018-05-29,1625.569946,1628.47998,1611.319946,1623.650024,1623.650024,3743310000,66
2018-05-30,1624.030029,1651.109985,1624.030029,1647.98999,1647.98999,3566490000,67
2018-05-31,1647.969971,1649.72998,1632.25,1633.609985,1633.609985,4241100000,68
2018-06-01,1635.400024,1650.5,1635.400024,1647.97998,1647.97998,3694310000,69
2018-06-04,1649.199951,1655.709961,1641.219971,1653.369995,1653.369995,3410090000,70
2018-06-05,1653.689941,1664.689941,1652.76001,1664.630005,1664.630005,3523550000,71
2018-06-06,1665.199951,1676.180054,1664.449951,1675.949951,1675.949951,3662780000,72
2018-06-07,1676.52002,1679.98999,1660.890015,1667.77002,1667.77002,3742080000,73
2018-06-08,1667.609985,1674.069946,1665.72998,1672.48999,1672.48999,3138850000,74
2018-06-11,1672.5,1677.680054,1671.26001,1674.680054,1674.680054,3262130000,75
2018-06-12,1674.939941,1686.369995,1674.939941,1682.300049,1682.300049,3435700000,76
2018-06-13,1682.719971,1684.839966,1673.920044,1676.540039,1676.540039,3820770000,77
2018-06-14,1677.030029,1684.72998,1674.530029,1684.719971,1684.719971,3540930000,78
2018-06-15,1684.23999,1684.630005,1672.98999,1683.910034,1683.910034,5451990000,79
2018-06-18,1683.51001,1692.459961,1674.410034,1692.459961,1692.459961,3316120000,80
2018-06-19,1692.01001,1694,1672.660034,1693.449951,1693.449951,3671160000,81
2018-06-20,1694.040039,1708.099976,1694.040039,1706.98999,1706.98999,3332140000,82
2018-06-21,1706.98999,1708.02002,1685.589966,1688.949951,1688.949951,3336580000,83
2018-06-22,1690.280029,1696.369995,1680.910034,1685.579956,1685.579956,5468110000,84
2018-06-25,1684.76001,1684.76001,1649.810059,1657.51001,1657.51001,3663280000,85
2018-06-26,1657.709961,1672.160034,1656.119995,1668.530029,1668.530029,3568900000,86
2018-06-27,1668.939941,1671.469971,1640.420044,1640.449951,1640.449951,3803990000,87
2018-06-28,1640.369995,1647.939941,1630.060059,1645.02002,1645.02002,3461100000,88
2018-06-29,1645.900024,1656.050049,1642.969971,1643.069946,1643.069946,3586800000,89
2018-07-02,1641.72998,1655.089966,1631.060059,1655.089966,1655.089966,3095040000,90
2018-07-03,1655.400024,1667.52002,1655.400024,1660.420044,1660.420044,1911460000,91
2018-07-05,1660.650024,1679.660034,1660.650024,1679.47998,1679.47998,2980160000,92
2018-07-06,1679.449951,1695.180054,1678.569946,1694.050049,1694.050049,2590250000,93
2018-07-09,1694.660034,1704.839966,1694.660034,1704.599976,1704.599976,3070060000,94
2018-07-10,1704.829956,1708.560059,1689.349976,1695.619995,1695.619995,3080140000,95
2018-07-11,1694.060059,1696.02002,1683.099976,1683.660034,1683.660034,2986180000,96
2018-07-12,1685.170044,1692.430054,1679.26001,1690.280029,1690.280029,2834230000,97
2018-07-13,1690.290039,1697.400024,1686.880005,1687.079956,1687.079956,2619790000,98
2018-07-16,1687.060059,1688.400024,1672.420044,1678.540039,1678.540039,2819860000,99
2018-07-17,1678,1690.040039,1676.099976,1687.26001,1687.26001,3064920000,100
2018-07-18,1687.140015,1692.02002,1679.22998,1691.869995,1691.869995,3111560000,101
2018-07-19,1691.199951,1702.890015,1686.26001,1701.310059,1701.310059,3278360000,102
2018-07-20,1701.150024,1703.430054,1696.040039,1696.810059,1696.810059,3243250000,103
2018-07-23,1696.420044,1701.969971,1690.530029,1698.410034,1698.410034,2928490000,104
2018-07-24,1700.099976,1706.829956,1675.01001,1680.199951,1680.199951,3430410000,105
